Date,Arena,Home_Team,Visitor_Team,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Andrew Wiggins,wiggian01,31.233333333333334,4,16,.250,2,6,.333,3,4,.750,0,2,2,1,0,1,4,4,13,-28
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Stephen Curry,curryst01,30.316666666666666,7,21,.333,2,10,.200,4,4,1.000,3,1,4,10,2,0,3,1,20,-23
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Kelly Oubre Jr.,oubreke01,25.65,3,14,.214,0,6,.000,0,0,,4,3,7,2,1,2,3,1,6,-28
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,James Wiseman,wisemja01,24.283333333333335,7,13,.538,1,1,1.000,4,8,.500,1,5,6,0,2,0,1,2,19,-10
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Eric Paschall,pascher01,21.55,2,6,.333,1,1,1.000,1,2,.500,1,0,1,0,0,1,0,1,6,-28
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Brad Wanamaker,wanambr01,21.666666666666668,0,2,.000,0,1,.000,3,4,.750,0,1,1,3,0,0,1,2,3,1
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Jordan Poole,poolejo01,17.916666666666668,1,4,.250,0,1,.000,0,0,,0,2,2,3,0,0,2,2,2,-3
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Juan Toscano-Anderson,toscaju01,13.25,2,2,1.000,0,0,,0,0,,0,4,4,2,0,2,0,3,4,-9
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Marquese Chriss,chrisma01,12.433333333333334,4,10,.400,1,3,.333,0,0,,3,5,8,1,0,0,0,2,9,-6
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Damion Lee,leeda03,12.233333333333333,1,2,.500,1,1,1.000,0,0,,1,6,7,2,0,0,0,0,3,8
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Kent Bazemore,bazemke01,11.583333333333334,1,2,.500,0,1,.000,0,0,,0,2,2,2,1,0,2,3,2,-3
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Kevon Looney,looneke01,11.283333333333333,2,4,.500,0,0,,0,1,.000,0,2,2,0,0,0,2,3,4,-10
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Mychal Mulder,muldemy01,6.6,3,3,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,0,8,9
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Kyrie Irving,irvinky01,25.3,10,16,.625,4,7,.571,2,2,1.000,1,3,4,4,0,0,1,3,26,32
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Kevin Durant,duranke01,24.933333333333334,7,16,.438,1,2,.500,7,7,1.000,1,4,5,3,3,1,1,3,22,26
"Tue, Dec 22, 2020",Barclays Center,Brooklyn Nets,Golden State Warriors,Joe Harris,harrijo01,20.766666666666666,4,8,.500,2,5,.400,0,0,,2,5,7,2,0,1,2,2,10,21
