Date,Arena,Home_Team,Visitor_Team,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
"Sun, Jan 1, 2023",Ball Arena,Denver Nuggets,Boston Celtics,Jayson Tatum,tatumja01,35.516666666666666,7,16,.438,0,4,.000,11,14,.786,0,7,7,6,2,0,5,1,25,-15
"Sun, Jan 1, 2023",Ball Arena,Denver Nuggets,Boston Celtics,Jaylen Brown,brownja02,34.21666666666667,12,20,.600,4,8,.500,2,2,1.000,2,6,8,3,1,0,0,3,30,-7
"Sun, Jan 1, 2023",Ball Arena,Denver Nuggets,Boston Celtics,Marcus Smart,smartma01,31.316666666666666,2,12,.167,0,4,.000,0,0,,2,3,5,7,1,0,1,3,4,-3
"Sun, Jan 1, 2023",Ball Arena,Denver Nuggets,Boston Celtics,Al Horford,horfoal01,30.1,3,10,.300,2,6,.333,0,0,,2,4,6,3,0,1,0,0,8,-7
"Sun, Jan 1, 2023",Ball Arena,Denver Nuggets,Boston Celtics,Derrick White,whitede01,23.216666666666665,5,9,.556,2,5,.400,1,2,.500,0,1,1,3,1,1,1,1,13,-14
"Sun, Jan 1, 2023",Ball Arena,Denver Nuggets,Boston Celtics,Grant Williams,willigr01,27.516666666666666,2,4,.500,0,1,.000,5,5,1.000,2,3,5,1,1,1,2,3,9,-12
"Sun, Jan 1, 2023",Ball Arena,Denver Nuggets,Boston Celtics,Malcolm Brogdon,brogdma01,19.583333333333332,1,6,.167,0,3,.000,2,2,1.000,0,2,2,4,1,0,1,1,4,-13
"Sun, Jan 1, 2023",Ball Arena,Denver Nuggets,Boston Celtics,Robert Williams,williro04,18.75,4,4,1.000,0,0,,0,0,,2,4,6,1,0,0,2,2,8,-2
"Sun, Jan 1, 2023",Ball Arena,Denver Nuggets,Boston Celtics,Sam Hauser,hausesa01,11.45,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,5
"Sun, Jan 1, 2023",Ball Arena,Denver Nuggets,Boston Celtics,Luke Kornet,kornelu01,2.0833333333333335,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,4,2
