team_acronym,image_url
ATL,https://cdn.ssref.net/req/202605010/tlogo/bbr/ATL-2026.png
BKN,https://cdn.ssref.net/req/202605010/tlogo/bbr/BKN-2026.png
BOS,https://cdn.ssref.net/req/202605010/tlogo/bbr/BOS-2026.png
CHA,https://cdn.ssref.net/req/202605010/tlogo/bbr/CHA-2026.png
CHI,https://cdn.ssref.net/req/202605010/tlogo/bbr/CHI-2026.png
CLE,https://cdn.ssref.net/req/202605010/tlogo/bbr/CLE-2026.png
DAL,https://cdn.ssref.net/req/202605010/tlogo/bbr/DAL-2026.png
DEN,https://cdn.ssref.net/req/202605010/tlogo/bbr/DEN-2026.png
DET,https://cdn.ssref.net/req/202605010/tlogo/bbr/DET-2026.png
GSW,https://cdn.ssref.net/req/202605010/tlogo/bbr/GSW-2026.png
HOU,https://cdn.ssref.net/req/202605010/tlogo/bbr/HOU-2026.png
IND,https://cdn.ssref.net/req/202605010/tlogo/bbr/IND-2026.png
LAC,https://cdn.ssref.net/req/202605010/tlogo/bbr/LAC-2026.png
LAL,https://cdn.ssref.net/req/202605010/tlogo/bbr/LAL-2026.png
MEM,https://cdn.ssref.net/req/202605010/tlogo/bbr/MEM-2026.png
MIA,https://cdn.ssref.net/req/202605010/tlogo/bbr/MIA-2026.png
MIL,https://cdn.ssref.net/req/202605010/tlogo/bbr/MIL-2026.png
MIN,https://cdn.ssref.net/req/202605010/tlogo/bbr/MIN-2026.png
NOP,https://cdn.ssref.net/req/202605010/tlogo/bbr/NOP-2026.png
NYK,https://cdn.ssref.net/req/202605010/tlogo/bbr/NYK-2026.png
OKC,https://cdn.ssref.net/req/202605010/tlogo/bbr/OKC-2026.png
ORL,https://cdn.ssref.net/req/202605010/tlogo/bbr/ORL-2026.png
PHI,https://cdn.ssref.net/req/202605010/tlogo/bbr/PHI-2026.png
PHX,https://cdn.ssref.net/req/202605010/tlogo/bbr/PHX-2026.png
POR,https://cdn.ssref.net/req/202605010/tlogo/bbr/POR-2026.png
SAC,https://cdn.ssref.net/req/202605010/tlogo/bbr/SAC-2026.png
SAS,https://cdn.ssref.net/req/202605010/tlogo/bbr/SAS-2026.png
TOR,https://cdn.ssref.net/req/202605010/tlogo/bbr/TOR-2026.png
UTA,https://cdn.ssref.net/req/202605010/tlogo/bbr/UTA-2026.png
WAS,https://cdn.ssref.net/req/202605010/tlogo/bbr/WAS-2026.png
